Gender,Name,Time,Distance,T/K,moyenne/athlete/5k,moyenne/générale/5k,Rapport(Athlete/moyenne)5k au km,moyenne/athlete/10k,moyenne/générale/10k,Rapport(Athlete/moyenne)10k au km,moyenne/athlete/21k,moyenne/générale/21k,Rapport(Athlete/moyenne)21k au km,moyenne/athlete/42k,moyenne/générale/42k,Rapport(Athlete/moyenne)42k au km,Score/athlete,Score/athlete/moyenne,Code,Question,Reponse
M, gofro,1800.0,5000,6.0,6.0,5.2577045908183635,0.7422954091816365,,5.167163120567375,,,5.2904497354497355,,,5.752294685990339,,0.7422954091816365,0.7030728259792473, gofro7367,Quel est ton record personnel sur 10 km (approximatif) ?,40
M, gofro,1800.0,5000,6.0,6.0,5.2577045908183635,0.7422954091816365,,5.167163120567375,,,5.2904497354497355,,,5.752294685990339,,0.7422954091816365,0.7030728259792473, gofro7367,Quel est ton record personnel sur 10 km (approximatif) ?,40
M, gofro,1800.0,5000,6.0,6.0,5.2577045908183635,0.7422954091816365,,5.167163120567375,,,5.2904497354497355,,,5.752294685990339,,0.7422954091816365,0.7030728259792473, gofro7367,Quel est ton record personnel sur 10 km (approximatif) ?,40
M, gofro,1800.0,5000,6.0,6.0,5.2577045908183635,0.7422954091816365,,5.167163120567375,,,5.2904497354497355,,,5.752294685990339,,0.7422954091816365,0.7030728259792473, gofro7367,Quel est ton record personnel sur 10 km (approximatif) ?,40
M, gofro,1800.0,5000,6.0,6.0,5.2577045908183635,0.7422954091816365,,5.167163120567375,,,5.2904497354497355,,,5.752294685990339,,0.7422954091816365,0.7030728259792473, gofro7367,Quel est ton record personnel sur 10 km (approximatif) ?,40
M, gofro,1800.0,5000,6.0,6.0,5.2577045908183635,0.7422954091816365,,5.167163120567375,,,5.2904497354497355,,,5.752294685990339,,0.7422954091816365,0.7030728259792473, gofro7367,Quel est ton record personnel sur 10 km (approximatif) ?,40
M, gofro,1800.0,5000,6.0,6.0,5.2577045908183635,0.7422954091816365,,5.167163120567375,,,5.2904497354497355,,,5.752294685990339,,0.7422954091816365,0.7030728259792473, gofro7367,Quel est ton record personnel sur 10 km (approximatif) ?,40
M, gofro,1800.0,5000,6.0,6.0,5.2577045908183635,0.7422954091816365,,5.167163120567375,,,5.2904497354497355,,,5.752294685990339,,0.7422954091816365,0.7030728259792473, gofro7367,Quel est ton record personnel sur 10 km (approximatif) ?,40
M, gofro,3600.0,10000,6.0,,5.2577045908183635,,6.0,5.167163120567375,0.8328368794326249,,5.2904497354497355,,,5.752294685990339,,0.8328368794326249,0.7030728259792473, gofro7367,Quel est ton record personnel sur 10 km (approximatif) ?,40
M, gofro,3600.0,10000,6.0,,5.2577045908183635,,6.0,5.167163120567375,0.8328368794326249,,5.2904497354497355,,,5.752294685990339,,0.8328368794326249,0.7030728259792473, gofro7367,Quel est ton record personnel sur 10 km (approximatif) ?,40
M, gofro,3600.0,10000,6.0,,5.2577045908183635,,6.0,5.167163120567375,0.8328368794326249,,5.2904497354497355,,,5.752294685990339,,0.8328368794326249,0.7030728259792473, gofro7367,Quel est ton record personnel sur 10 km (approximatif) ?,40
M, gofro,8100.0,21000,6.428571428571429,,5.2577045908183635,,,5.167163120567375,,,5.2904497354497355,,,5.752294685990339,,0.0,0.7030728259792473, gofro7367,Quel est ton record personnel sur 10 km (approximatif) ?,40
